Code;Group;en_EN;ru_RU Russian_Russia
accounting;Economics, buisness, finance;Accounting;Экономика, учёт
adv_animal;Adventure;Nature & animals;Природа и животные
adv_geo;Adventure;Travel & geography;Путешествия и география
adv_history;Adventure;History;История
adv_maritime;Adventure;Maritime;Море
adv_western;Adventure;Western;Вестерн
adventure;Adventure;Adventure;Приключения
antique;Antique;Antique;Древняя литература
antique_ant;Antique;Antique;Античность
antique_east;Antique;Old east;Древневосточная литература
antique_european;Antique;European;Старая европейская литература
antique_myths;Antique;Myths;Мифы
antique_russian;Antique;Old russian;Древнерусская литература
aphorism_quote;Other;Aphorism;Афоризмы
architecture_book;Other;Architecture;Архитектура
auto_regulations;Other;Cars;Автомобили
banking;Economics, buisness, finance;Banking;Банкинг
beginning_authors;Other;Beginning authors;Начинающие авторы
child_adv;Child;Adventure;Приключения
child_det;Child;Detective;Детектив
child_education;Child;Education;Образовательная литература
child_prose;Child;Prose;Детская проза
child_sf;Child;Science fiction;Детская научная фантастика
child_tale;Child;Tale;Сказки
child_verse;Child;Verse;Стихи
children;Child;Child;Детская литература
cinema_theatre;Other;Cinema, theatre;Кино, театр
city_fantasy;Fantasy;City fantasy;Городское фэнтези
comp_db;Computers;Databases;Базы данных
comp_hard;Computers;Hardware;Компьютеры, аппаратная часть
comp_osnet;Computers;OS, net;Операционные системы, сети
comp_programming;Computers;Progrmming;Программирование
comp_soft;Computers;Software;Программы
comp_www;Computers;Internet;Интернет
computers;Computers;Computers;Компьютеры
design;Visual arts;Design;Дизайн
det_action;Detective;Action;Боевик
det_classic;Detective;Classic;Классический
det_crime;Detective;Crime;Криминал
det_espionage;Detective;Espionage;Шпионаж
det_hard;Detective;Hard-boiled;Крутой
det_history;Detective;History;Исторический
det_irony;Detective;Irony;Иронический
det_police;Detective;Police;Полицейский
det_political;Detective;Political;Политический
detective;Detective;Detective;Детектив
dragon_fantasy;Fantasy;Dragons;Драконы
dramaturgy;Other;Dramaturgy;Драматургия
economics;Economics, buisness, finance;Economics;Экономика
essays;Other;Essays;Эссе
fantasy_fight;Fantasy;Fighting;Битвы
foreign_action;Foreign;Action;Боевик
foreign_adventure;Foreign;Adventyre;Приключения
foreign_antique;Foreign;Antique;Древние книги
foreign_business;Foreign;Buisness;Бизнес
foreign_children;Foreign;Children;Детские книги
foreign_comp;Foreign;Computers;Компьютеры
foreign_contemporary;Foreign;Contemporary;Современное
foreign_contemporary_lit;Foreign;Contemporary litirature;Современная литература
foreign_desc;Foreign;Description;Описания
foreign_detective;Foreign;Detective;Детектив
foreign_dramaturgy;Foreign;Dramaturgy;Драматургия
foreign_edu;Foreign;Education;Образование
foreign_fantasy;Foreign;Fantasy;Фэнтези
foreign_home;Foreign;Home;Дом
foreign_humor;Foreign;Humor;Юмор
foreign_language;Foreign;Languages;Языкознание
foreign_love;Foreign;Love;Любовное
foreign_novel;Foreign;Novel;Новеллы
foreign_other;Foreign;Other;Другое
foreign_poetry;Foreign;Poetry;Поэзия
foreign_prose;Foreign;Prose;Проза
foreign_psychology;Foreign;Psychology;Психология
foreign_publicism;Foreign;Publicism;Публицистика
foreign_religion;Foreign;Religion;Религия
foreign_sf;Foreign;Science fiction;Научная фантастика
geo_guides;Geaography;Guides;Справочники
geography_book;Geaography;Geography;География
global_economy;Economics, buisness, finance;Economics, global;Глобальная экономика
historical_fantasy;Fantasy;Historical fantasy;Историческое фэнтези
home;Home;Home;Дом
home_cooking;Home;Cooking;Кухня
home_crafts;Home;Crafts;Увлечения
home_diy;Home;DIY;Сделай сам
home_entertain;Home;Entertainment;Развлечения
home_garden;Home;Garden;Сад
home_health;Home;Health;Здоровье
home_pets;Home;Pets;Домашние животные
home_sex;Home;Sex;Секс
home_sport;Home;Sport;Спорт
humor;Humor;Humor;Юмор
humor_anecdote;Humor;Anecdote;Анекдоты
humor_fantasy;Humor;Fantasy;Фэнтези
humor_prose;Humor;Prose;Проза
humor_verse;Humor;Verse;Стихи
industries;Other;Industries;Промышленность
job_hunting;Other;Job hunting;Поиск работы
literature_18;Other;Literature 18+;Литература 18+
literature_19;Other;Literature 19+;Литература 19+
literature_20;Other;Literature 20+;Литература 20+
love_contemporary;Love;Contemporary;Современное
love_detective;Love;Detective;Детектив
love_erotica;Love;Erotica;Эротика
love_fantasy;Love;Fantasy;Фэнтези
love_history;Love;History;История
love_sf;Love;Science fiction;Научная фантастика
love_short;Love;Short;Короткое
magician_book;Other;Magic;Магия
management;Other;Management;Менеджмент
marketing;Economics, buisness, finance;Marketing;Маркетинг
military_special;Other;Military;Военное дело
music_dancing;Other;Music, dancing;Музыка, танцы
narrative;Other;Narrative;Повествовательное
newspapers;Other;Newspapers;Газеты
nonf_biography;Nonfiction;Biography;Биографии
nonf_criticism;Nonfiction;Criticism;Критика
nonf_publicism;Nonfiction;Publicism;Публицистика
nonfiction;Nonfiction;Nonfiction;Художественная литература
org_behavior;Other;Organisation;Организация
paper_work;Other;Papaer work;Бумажная работа
pedagogy_book;Other;Pedagogical;Педагогика
periodic;Other;Periodic;Периодические издания
personal_finance;Economics, buisness, finance;Personal finance;Личные финансы
poetry;Other;Poetry;Поэзия
popadanec;Science fiction;Popadanec (untranslatable concept);Уе… попаданцы
popular_business;Economics, buisness, finance;Buisness, popular;Бизнес
prose_classic;Prose;Classical;Классика
prose_contemporary;Prose;Contemporary;Современная проза
prose_counter;Prose;Counter;Контр-проза
prose_history;Prose;History;История
prose_military;Prose;Military;Военная проза
prose_rus_classic;Prose;Russian classic;Русская классика
prose_su_classics;Prose;Soviet Union classic;Советская классика
psy_alassic;Psychology;Psychology;Психология
psy_childs;Psychology;Childs;Дети
psy_generic;Psychology;Generic;Общее
psy_personal;Psychology;Personal;Личное
psy_sex_and_family;Psychology;Sex and family;Секс и семья
psy_social;Psychology;Social;Социальное
psy_theraphy;Psychology;Therapy;Терапия
real_estate;Economics, buisness, finance;Real estate;Недвижимость
ref_dict;Reference;Dictionaries;Словари
ref_encyc;Reference;Encyclopedia;Энциклопедии
ref_guide;Reference;Guide;Инструкции
ref_ref;Reference;Reference;Справочники
reference;Reference;Reference;Справочники
religion;Religion;Religion;Религия
religion_esoterics;Religion;Esoterics;Эзотерика
religion_rel;Religion;Relationships;Отношения
religion_self;Religion;Self-knowledge;Самопознание
russian_contemporary;Other;Russian, contemporary;Современная российская литература
russian_fantasy;Fantasy;Russian, fantasy;Русское фэнтези
sci_biology;Science;Biology;Биология
sci_chem;Science;Chemistry;Химия
sci_culture;Science;Culture;Культура
sci_history;Science;History;История
sci_juris;Science;Jurisprudence;Юриспруденция
sci_linguistic;Science;Linguistic;Лингвистика
sci_math;Science;Math;Математика
sci_medicine;Science;Medicine;Медицина
sci_philosophy;Science;Philosophy;Философия
sci_phys;Science;Physics;Физика
sci_politics;Science;Politics;Политика
sci_religion;Science;Religion;Религия
sci_tech;Science;Tech;Техника
science;Science;Science;Наука
sf;Science fiction;Sciense fiction;Научная фантастика
sf_action;Science fiction;Action;Боевик
sf_cyberpunk;Science fiction;Cyberpunk;Киберпанк
sf_detective;Science fiction;Detective;Детектив
sf_fantasy;Science fiction;Fantasy;Фэнтези
sf_heroic;Science fiction;Heroic;Героическое
sf_history;Science fiction;History;История
sf_horror;Science fiction;Horror;Ужас
sf_humor;Science fiction;Humor;Юмор
sf_social;Science fiction;Social;Социальное
sf_space;Science fiction;Space;Космос
short_story;Other;Short story;Короткие истории
sketch;Other;Sketch;Скетч
small_business;Economics, buisness, finance;Small buisness;Малый бизнес
sociology_book;Science;Sociology;Социология
stock;Economics, buisness, finance;Stock;Биржа
thriller;Other;Thriller;Триллер
upbringing_book;Other;Upbringing;Воспитание
vampire_book;Other;Vampire;Вампиры
visual_arts;Visual arts;Visual arts;Живопись
unrecognised;Other;Unrecognised;Неизвестный
